existingItemLabel,newItemLabel,title,subtitle,statedAs,statedAsCreator2,creator,educated at,creatorNew,creatorNew2,CreatorMastersReconciled,creatorDoctoralReconciled,instance of,genre,Den,submittedTo,inception,language,pages,Leaf,page,RomanNumberedPage,degreeSupervisor,degreeSupervisor 1,degreeSupervisor 2,degreeSupervisor 3,degreeSupervisor 4,hdlURI,hdl,OCLCID
,Finite-difference Methods For Second-order Wave Equations With Reduced Dispersion Errors,Finite-difference Methods For Second-order Wave Equations With Reduced Dispersion Errors,,Yajun An,,Yajun An,University of Washington,,,,Yajun An,human,doctoral thesis,"doctoral thesis by Yajun An, 2015",University of Washington,2015,English,"vi, 96 pages ",,96,vi,"Bube, Kenneth P.,degree supervisor.",Kenneth P. Bube,,,,http://hdl.handle.net/1773/34018,1773/34018,936211012
,"Brownian Particles Interacting With a Newtonian Barrier: Skorohod Maps and Their Use in Solving a Pde With Free Boundary, Strong Approximation, and Hydrodynamic Limits",Brownian Particles Interacting With a Newtonian Barrier,"Skorohod Maps and Their Use in Solving a Pde With Free Boundary, Strong Approximation, and Hydrodynamic Limits",Clayton Barnes,,Clayton Barnes,University of Washington,,,,Clayton Barnes,human,doctoral thesis,"doctoral thesis by Clayton Barnes, 2018",University of Washington,2018,English,"viii, 149 pages  ",,149,viii,"Burdzy, K.(Krzysztof),degree supervisor.",K.(Krzysztof) Burdzy,,,,http://hdl.handle.net/1773/43094,1773/43094,1085680933
,On the Duflot Filtration For Equivariant Cohomology Rings,On the Duflot Filtration For Equivariant Cohomology Rings,,James Cunningham Cameron,,James Cunningham Cameron,University of Washington,,,,James Cunningham Cameron,human,doctoral thesis,"doctoral thesis by James Cunningham Cameron, 2018",University of Washington,2018,English,"iv, 93 pages ",,93,iv,"Palmieri, John H.(John Harold),1964-degree supervisor.;Pevtsova, Julia,degree supervisor.",John H.(John Harold) Palmieri, Julia Pevtsova,,,http://hdl.handle.net/1773/42460,1773/42460,1078700867
,Towards a Non-q-gorenstein Minimal Model Program,Towards a Non-q-gorenstein Minimal Model Program,,Alberto Chiecchio,,Alberto Chiecchio,University of Washington,,,,Alberto Chiecchio,human,doctoral thesis,"doctoral thesis by Alberto Chiecchio, 2014",University of Washington,2014,English,108 pages ,,108,,"Kovács, Sándor J.(Sándor József),degree supervisor.",Sándor J.(Sándor József) Kovács,,,,http://hdl.handle.net/1773/26122,1773/26122,898992845
,Grothendieck Duality On Diagrams of Schemes,Grothendieck Duality On Diagrams of Schemes,,Graham Clenaghan,,Graham Clenaghan,University of Washington,,,,Graham Clenaghan,human,doctoral thesis,"doctoral thesis by Graham Clenaghan, 2015",University of Washington,2015,English,"i, 45 pages ",,45,i,"Kovács, Sándor J.(Sándor József),degree supervisor.",Sándor J.(Sándor József) Kovács,,,,http://hdl.handle.net/1773/35250,1773/35250,947720281
,Shimura Degrees For Elliptic Curves Over Number Fields,Shimura Degrees For Elliptic Curves Over Number Fields,,Alyson Deines,,Alyson Deines,University of Washington,,,,Alyson Deines,human,doctoral thesis,"doctoral thesis by Alyson Deines, 2014",University of Washington,2014,English,"v, 100 pages ",,100,v,"Stein, William A.,1974-degree supervisor.",William A. Stein,,,,http://hdl.handle.net/1773/26527,1773/26527,894137079
,Projective Geometry For Perfectoid Spaces,Projective Geometry For Perfectoid Spaces,,Gabriel Dorfsman-Hopkins,,Gabriel Dorfsman-Hopkins,University of Washington,,,,Gabriel Dorfsman-Hopkins,human,doctoral thesis,"doctoral thesis by Gabriel Dorfsman-Hopkins, 2019",University of Washington,2019,English,"v, 136 pages ",,136,v,"Lieblich, Max,1978-degree supervisor.",Max Lieblich,,,,http://hdl.handle.net/1773/44374,1773/44374,1125013304
,Self-shrinking Solutions to Mean Curvature Flow,Self-shrinking Solutions to Mean Curvature Flow,,Gregory Drugan,,Gregory Drugan,University of Washington,,,,Gregory Drugan,human,doctoral thesis,"doctoral thesis by Gregory Drugan, 2014",University of Washington,2014,English,"v, 111 pages ",,111,v,"Yuan, Yu(Mathematician),degree supervisor.",Yu(Mathematician) Yuan,,,,http://hdl.handle.net/1773/26529,1773/26529,894264668
,Some Theorems On the Resolution Property and the Brauer Map,Some Theorems On the Resolution Property and the Brauer Map,,Siddharth Mathur,,Siddharth Mathur,University of Washington,,,,Siddharth Mathur,human,doctoral thesis,"doctoral thesis by Siddharth Mathur, 2018",University of Washington,2018,English,"v, 87 pages ",,87,v,"Lieblich, Max,1978-degree supervisor.",Max Lieblich,,,,http://hdl.handle.net/1773/42453,1773/42453,1078701390
,Alternate Approaches to the Cup Product and Gerstenhaber Bracket On Hochschild Cohomology,Alternate Approaches to the Cup Product and Gerstenhaber Bracket On Hochschild Cohomology,,Cris Negron,,Cris Negron,University of Washington,,,,Cris Negron,human,doctoral thesis,"doctoral thesis by Cris Negron, 2015",University of Washington,2015,English,"v, 178 pages ",,178,v,"Zhang, James(James J.),degree supervisor.",James(James J.) Zhang,,,,http://hdl.handle.net/1773/34023,1773/34023,936211002
,Results On Singularities of Pairs,Results On Singularities of Pairs,,Lorenzo Prelli,,Lorenzo Prelli,University of Washington,,,,Lorenzo Prelli,human,doctoral thesis,"doctoral thesis by Lorenzo Prelli, 2016",University of Washington,2016,English,"iii, 62 pages",,62,iii,"Kovács, Sándor J.(Sándor József),degree supervisor.",Sándor J.(Sándor József) Kovács,,,,http://hdl.handle.net/1773/36752,1773/36752,958021144
,Topics in Continuum Theory,Topics in Continuum Theory,,John Samples,,John Samples,,,,John Samples,,human,master's thesis,"master's thesis by John Samples, 2017",University of Washington,2017,English,93 pages ,,93,,"Bube, Kenneth P.,degree supervisor.",Kenneth P. Bube,,,,http://hdl.handle.net/1773/40931,1773/40931,1037021823
,Abelian Varieties With Small Isogeny Class and Applications to Cryptography,Abelian Varieties With Small Isogeny Class and Applications to Cryptography,,Travis Scholl,,Travis Scholl,University of Washington,,,,Travis Scholl,human,doctoral thesis,"doctoral thesis by Travis Scholl, 2018",University of Washington,2018,English,"iv, 108 pages ",,108,iv,"Koblitz, Neal,1948-degree supervisor.",Neal Koblitz,,,,http://hdl.handle.net/1773/42458,1773/42458,1078701013
,The Grothendieck Groups of Module Categories Over Coherent Algebras,The Grothendieck Groups of Module Categories Over Coherent Algebras,,Gautam Sisodia,,Gautam Sisodia,University of Washington,,,,Gautam Sisodia,human,doctoral thesis,"doctoral thesis by Gautam Sisodia, 2014",University of Washington,2014,English,"iv, 55 pages ",,55,iv,"Smith, S. P.,1955-degree supervisor.",S. P. Smith,,,,http://hdl.handle.net/1773/26533,1773/26533,898191101
,The Zeros of Elliptic Curve L-functions: Analytic Algorithms With Explicit Time Complexity,The Zeros of Elliptic Curve L-functions,Analytic Algorithms With Explicit Time Complexity,Simon Spicer,,Simon Spicer,University of Washington,,,,Simon Spicer,human,doctoral thesis,"doctoral thesis by Simon Spicer, 2015",University of Washington,2015,English,"iii, 109 pages ",,109,iii,"Stein, William A.,1974-degree supervisor.",William A. Stein,,,,http://hdl.handle.net/1773/34017,1773/34017,936210968
,Some Cohomology of Finite General Linear Groups,Some Cohomology of Finite General Linear Groups,,David Sprehn,,David Sprehn,University of Washington,,,,David Sprehn,human,doctoral thesis,"doctoral thesis by David Sprehn, 2015",University of Washington,2015,English,"iv, 72 pages ",,72,iv,"Mitchell, Stephen A.(Stephen Ames),degree supervisor.",Stephen A.(Stephen Ames) Mitchell,,,,http://hdl.handle.net/1773/34016,1773/34016,936210934
,Time-like Graphical Models,Time-like Graphical Models,,Tvrtko Tadić,,Tvrtko Tadić,University of Washington,,,,Tvrtko Tadić,human,doctoral thesis,"doctoral thesis by Tvrtko Tadić, 2015",University of Washington,2015,English,"vii, 235 pages ",,235,vii,"Burdzy, K.(Krzysztof),degree supervisor.",K.(Krzysztof) Burdzy,,,,http://hdl.handle.net/1773/33200,1773/33200,910896720
,A Functorial Approach to Algebraic Vision,A Functorial Approach to Algebraic Vision,,Lucas Van Meter,,Lucas Van Meter,University of Washington,,,,Lucas Van Meter,human,doctoral thesis,"doctoral thesis by Lucas Van Meter, 2019",University of Washington,2019,English,"iv, 83 pages ",,83,iv,"Lieblich, Max,1978-degree supervisor.",Max Lieblich,,,,http://hdl.handle.net/1773/44370,1773/44370,1125009950
,Classification of Connected Hopf Algebras Up to Prime-cube Dimension,Classification of Connected Hopf Algebras Up to Prime-cube Dimension,,Xingting Wang,,Xingting Wang,University of Washington,,,,Xingting Wang,human,doctoral thesis,"doctoral thesis by Xingting Wang, 2014",University of Washington,2014,English,"ii, 142 pages ",,142,ii,"Zhang, James(James J.),degree supervisor.",James(James J.) Zhang,,,,http://hdl.handle.net/1773/26120,1773/26120,903610685
,"The Grothendieck Construction in Enriched, Internal and [infinity]-category Theory","The Grothendieck Construction in Enriched, Internal and [infinity]-category Theory",,Liang Ze Wong,,Liang Ze Wong,University of Washington,,,,Liang Ze Wong,human,doctoral thesis,"doctoral thesis by Liang Ze Wong, 2019",University of Washington,2019,English,"iv, 76 pages ",,76,iv,"Zhang, James(James J.),degree supervisor.",James(James J.) Zhang,,,,http://hdl.handle.net/1773/44365,1773/44365,1125008587
,On Computing the Tate-shafarevich Group Order and Type of Some Rational Elliptic Curves of Conductor Less Than a Million,On Computing the Tate-shafarevich Group Order and Type of Some Rational Elliptic Curves of Conductor Less Than a Million,,Gerardo E. Zelaya Eufemia,,Gerardo E. Zelaya Eufemia,University of Washington,,,,Gerardo E. Zelaya Eufemia,human,doctoral thesis,"doctoral thesis by Gerardo E. Zelaya Eufemia, 2019",University of Washington,2019,English,"ii, 100 pages ",,100,ii,"Stein, William A.,1974-degree supervisor.",William A. Stein,,,,http://hdl.handle.net/1773/44371,1773/44371,1125011059
,Toward the Compactification of the Stack of Lie(g)-forms Using Perfect Complexes,Toward the Compactification of the Stack of Lie(g)-forms Using Perfect Complexes,,Pál Zsámboki,,Pal Zsamboki,University of Washington,,,,Pal Zsamboki,human,doctoral thesis,"doctoral thesis by Pál Zsámboki, 2015",University of Washington,2015,English,89 pages ,,89,,"Lieblich, Max,1978-degree supervisor.",Max Lieblich,,,,http://hdl.handle.net/1773/34022,1773/34022,936211019
,On the Gamma 2-positivity of Smooth Toric Threefolds,On the Gamma 2-positivity of Smooth Toric Threefolds,,Michael Shrieve,,Michael Shrieve,,,,,Michael Shrieve,human,doctoral thesis,"doctoral thesis by Michael Shrieve, 2020",University of Washington,2020,English,"iii, 49 pages ",,49,iii,"Kovács, Sándor J.(Sándor József),degree supervisor.",Sándor J.(Sándor József) Kovács,,,,http://hdl.handle.net/1773/46507,1773/46507,1245428850
,On Weak Quantum Symmetry and Frobenius-perron Theory,On Weak Quantum Symmetry and Frobenius-perron Theory,,Elizabeth Wicks,,Elizabeth Wicks,University of Washington,,,,Elizabeth Wicks,human,doctoral thesis,"doctoral thesis by Elizabeth Wicks, 2020",University of Washington,2020,English,"vii, 212 pages ",,212,vii,"Zhang, James(James J.),degree supervisor.",James(James J.) Zhang,,,,http://hdl.handle.net/1773/45519,1773/45519,1155910721
,The Influence of Materials and Fabrication Techniques On Dye-sensitized Solar Cell Performance,The Influence of Materials and Fabrication Techniques On Dye-sensitized Solar Cell Performance,,Daniel J. Myers,,Daniel J. Myers,University of Wisconsin–Madison,,,Daniel J. Myers,,human,master's thesis,"master's thesis by Daniel J. Myers, 2012",University of Washington,2012,English,"vii, 78 pages ",,78,vii,"Cao, Guozhong,thesis advisor.;Zhang, Qifeng,thesis advisor.",Guozhong Cao, Qifeng Zhang,,,http://hdl.handle.net/1773/22499,1773/22499,874042751
,"Separative Magnetization Transport: Theory, Model, and Experiment",Separative Magnetization Transport,"Theory, Model, and Experiment",Rico A.R. Picone,,Rico A R Picone,University of Washington,,,,Rico A R Picone,human,doctoral thesis,"doctoral thesis by Rico A.R. Picone, 2014",University of Washington,2014,English,"vi, 65 pages ",,65,vi,"Garbini, Joseph L.,degree supervisor.",Joseph L. Garbini,,,,http://hdl.handle.net/1773/26053,1773/26053,901721732
,Resistive Embedded Heating For Homogeneous Curing of Composite Damage Repair,Resistive Embedded Heating For Homogeneous Curing of Composite Damage Repair,,Mahdi Ashrafi,,Mahdi Ashrafi,University of Washington,,,,Mahdi Ashrafi,human,doctoral thesis,"doctoral thesis by Mahdi Ashrafi, 2016",University of Washington,2016,English,"v, 71 pages ",,71,v,"Tuttle, M. E.,degree supervisor.;Devasia, Santosh,degree supervisor.",M. E. Tuttle, Santosh Devasia,,,http://hdl.handle.net/1773/37186,1773/37186,964452968
,Dynamic Modeling of Insect Flight Mechanisms,Dynamic Modeling of Insect Flight Mechanisms,,Mark Jankauski,,Mark Jankauski,,,,,Mark Jankauski,human,doctoral thesis,"doctoral thesis by Mark Jankauski, 2017",University of Washington,2017,English,"vii, 149",,149,vii,"Shen, Steve I. Y.,degree supervisor.",Steve I. Y. Shen,,,,http://hdl.handle.net/1773/38660,1773/38660,990793514
,A Quasi-passive Biarticular Prosthesis and Novel Musculoskeletal Model For Transtibial Amputees,A Quasi-passive Biarticular Prosthesis and Novel Musculoskeletal Model For Transtibial Amputees,,Andrea Willson,,Andrea Willson,,,,Andrea Willson,,human,master's thesis,"master's thesis by Andrea Willson, 2017",University of Washington,2017,English,"x, 125 pages ",,125,x,"Aubin, Patrick Mark,degree supervisor.",Patrick Mark Aubin,,,,http://hdl.handle.net/1773/40644,1773/40644,1021209244
,A Custom Fabricated Low Weight On-board Vision Sensor For Insect Scale Robot,A Custom Fabricated Low Weight On-board Vision Sensor For Insect Scale Robot,,Sivakumar Balasubramanian,,Sivakumar Balasubramanian,Madurai Kamaraj University,,,Sivakumar Balasubramanian,,human,master's thesis,"master's thesis by Sivakumar Balasubramanian, 2019",University of Washington,2019,English,"vi, 25 pages ",,25,vi,"Fuller, Sawyer B.,1977-degree supervisor.",Sawyer B. Fuller,,,,http://hdl.handle.net/1773/43716,1773/43716,1101625843
,Material Removal Rate Control For a Teleoperated Robotic Sander,Material Removal Rate Control For a Teleoperated Robotic Sander,,Cameron Devine,,Cameron Devine,,,,Cameron Devine,,human,master's thesis,"master's thesis by Cameron Devine, 2018",University of Washington,2018,English,"v, 42 pages  ",,42,v,"Garbini, Joseph L.,degree supervisor.",Joseph L. Garbini,,,,http://hdl.handle.net/1773/43417,1773/43417,1091059746
,Metrics and Statistical Modeling of Ambient Noise With Emphasis On Calving Noise From a West Greenland Fjord,Metrics and Statistical Modeling of Ambient Noise With Emphasis On Calving Noise From a West Greenland Fjord,,Dara Farrell,,Dara Farrell,,,,,Dara Farrell,human,doctoral thesis,"doctoral thesis by Dara Farrell, 2019",University of Washington,2019,English,"xi, 66 pages ",,66,xi,"Dahl, Peter Hans,degree supervisor.",Peter Hans Dahl,,,,http://hdl.handle.net/1773/44856,1773/44856,1129600322
,Wearable Technology to Monitor Hand Movement During Constraint-induced Movement Therapy For Children With Cerebral Palsy,Wearable Technology to Monitor Hand Movement During Constraint-induced Movement Therapy For Children With Cerebral Palsy,,Brianna M. Goodwin,,Brianna M Goodwin,,,,Brianna M Goodwin,,human,master's thesis,"master's thesis by Brianna M. Goodwin, 2018",University of Washington,2018,English,145 pages ,,145,,"Steele, Katherine M.,degree supervisor.",Katherine M. Steele,,,,http://hdl.handle.net/1773/42472,1773/42472,1078699734
,"A Study of Machining Effects On the Surface Integrity, Strength Properties, Damage Evolution and Fatigue Strength of Composite Laminates","A Study of Machining Effects On the Surface Integrity, Strength Properties, Damage Evolution and Fatigue Strength of Composite Laminates",,Harinder Singh Oberoi,,Harinder Singh Oberoi,,,,,Harinder Singh Oberoi,human,doctoral thesis,"doctoral thesis by Harinder Singh Oberoi, 2019",University of Washington,2019,English,"xxix, 879 pages ",,879,xxix,"M. Ramulu(Mamidala Ramulu),degree supervisor.",M. Ramulu(Mamidala Ramulu),,,,http://hdl.handle.net/1773/44853,1773/44853,1129600114
,Evaluation of Muscle Synergies in Individuals With Cerebral Palsy,Evaluation of Muscle Synergies in Individuals With Cerebral Palsy,,Benjamin R. Shuman,,Benjamin R Shuman,,,,,Benjamin R Shuman,human,doctoral thesis,"doctoral thesis by Benjamin R. Shuman, 2019",University of Washington,2019,English,"ix, 135 pages ",,135,ix,"Steele, Katherine M.,degree supervisor.",Katherine M. Steele,,,,http://hdl.handle.net/1773/44390,1773/44390,1125014946
,Development and Control of Micro-ionic Thrusters For Centimeter-scale Aerial Robots,Development and Control of Micro-ionic Thrusters For Centimeter-scale Aerial Robots,,Hari Krishna Hari Prasad,,Hari Krishna Hari Prasad,,,,Hari Krishna Hari Prasad,,human,master's thesis,"master's thesis by Hari Krishna Hari Prasad, 2020",University of Washington,2020,English,"ix, 72 pages ",,72,ix,"Fuller, Sawyer B.,1977-degree supervisor.",Sawyer B. Fuller,,,,http://hdl.handle.net/1773/46103,1773/46103,1196251212
,Leveraging Temporal Dynamics With Neural-inspired Sensing and Control,Leveraging Temporal Dynamics With Neural-inspired Sensing and Control,,Thomas Leonard Mohren,,Thomas L. Mohren,University of Washington,,,,Thomas L. Mohren,human,doctoral thesis,"doctoral thesis by Thomas Leonard Mohren, 2020",University of Washington,2020,English,77 pages ,,77,,"Brunton, Steven L.(Steven Lee),1984-degree supervisor.;Daniel, Thomas L.,1954-degree supervisor.http://www.wikidata.org/entity/Q41694274",Steven L.(Steven Lee) Brunton,http://www.wikidata.org/entity/Q41694274,,,http://hdl.handle.net/1773/45525,1773/45525,1155911417
,Experiment Design and Implementation For Physical Human-robot Interaction Tasks,Experiment Design and Implementation For Physical Human-robot Interaction Tasks,,Xiangyu Xie,,Xiangyu Xie,,,,Xiangyu Xie,,human,master's thesis,"master's thesis by Xiangyu Xie, 2020",University of Washington,2020,English,"v, 43 pages",,43,v,"Smith, Joshua R.(Joshua Reynolds),degree supervisor.",Joshua R.(Joshua Reynolds) Smith,,,,http://hdl.handle.net/1773/46105,1773/46105,1196263663
,Structural Mechanics of Class 1 Viral Membrane Fusion Proteins,Structural Mechanics of Class 1 Viral Membrane Fusion Proteins,,Mark A. Benhaim,,Mark A. Benhaim,,,,,Mark A. Benhaim,human,doctoral thesis,"doctoral thesis by Mark A. Benhaim, 2020",University of Washington,2020,English,"5 pages, 145 pages ",,150,,"Lee, Kelly K.,degree supervisor.",Kelly K. Lee,,,,http://hdl.handle.net/1773/46518,1773/46518,1248746996
,Electron Flow and Energy Conservation in Hydrogenotrophic Methanogenesis,Electron Flow and Energy Conservation in Hydrogenotrophic Methanogenesis,,Kyle C. Costa,,Kyle C Costa,University of Washington,,,,Kyle C Costa,human,doctoral thesis,"doctoral thesis by Kyle C. Costa, 2013",University of Washington,2013,English,"vi, 154 pages ",,154,vi,"Leigh, John A.,1953-degree supervisor.",John A. Leigh,,,,http://hdl.handle.net/1773/25041,1773/25041,882102573
,Fundamentals of the Host-virus Evolutionary Arms Race,Fundamentals of the Host-virus Evolutionary Arms Race,,Efrem S. Lim,,Efrem S. Lim,University of Washington,,,,Efrem S. Lim,human,doctoral thesis,"doctoral thesis by Efrem S. Lim, 2012",University of Washington,2012,English,"v, 216 pages ",,216,v,"Emerman, Michael,thesis advisor.",Michael Emerman,,,,http://hdl.handle.net/1773/20257,1773/20257,812198397
,The Protease Adaptor Yjbh Is Involved in the Nitrosative Stress Response in Listeria Monocytogenes and Requires Its Thioredoxin Active Motif For Function,The Protease Adaptor Yjbh Is Involved in the Nitrosative Stress Response in Listeria Monocytogenes and Requires Its Thioredoxin Active Motif For Function,,Brittany R. Ruhland,,Brittany R Ruhland,,,,,Brittany R Ruhland,human,doctoral thesis,"doctoral thesis by Brittany R. Ruhland, 2020",University of Washington,2020,English,82 pages ,,82,,"Reniere, Michelle Lynne,degree supervisor.",Michelle Lynne Reniere,,,,http://hdl.handle.net/1773/46121,1773/46121,1196250890
,"Double Homeobox 4 Activates Germline Genes, Endogenous Retroelements and Immune Modulators: Implications For Facioscapulohumeral Muscular Dystrophy","Double Homeobox 4 Activates Germline Genes, Endogenous Retroelements and Immune Modulators",Implications For Facioscapulohumeral Muscular Dystrophy,Linda N. Geng,,Linda N Geng,,,,,Linda N Geng,human,doctoral thesis,"doctoral thesis by Linda N. Geng, 2011",University of Washington,2011,English,"v, 180 pages ",,180,v,"Tapscott, Stephen Justice,thesis advisor.",Stephen Justice Tapscott,,,,http://hdl.handle.net/1773/19740,1773/19740,795580449
,Interaction of the Mir-106a~363 Microrna Cluster and the P27kip1 Cdk Inhibitor in T Cell Development and Lymphomagenesis,Interaction of the Mir-106a~363 Microrna Cluster and the P27kip1 Cdk Inhibitor in T Cell Development and Lymphomagenesis,,Daniel Kuppers,,Daniel S Küpper,,,,,Daniel S Küpper,human,doctoral thesis,"doctoral thesis by Daniel Kuppers, 2011",University of Washington,2011,English,,,,,"Nelson, Peter S.,thesis advisor.",Peter S. Nelson,,,,http://hdl.handle.net/1773/19738,1773/19738,795580315
,Investigating the Failure of Myogenesis in the Pediatric Tumor Rhabdomyosarcoma,Investigating the Failure of Myogenesis in the Pediatric Tumor Rhabdomyosarcoma,,Kyle L. MacQuarrie,,Kyle L MacQuarrie,University of Washington School of Medicine,,,,Kyle L MacQuarrie,human,doctoral thesis,"doctoral thesis by Kyle L. MacQuarrie, 2011",University of Washington,2011,English,,,,,"Tapscott, Stephen Justice,thesis advisor.",Stephen Justice Tapscott,,,,http://hdl.handle.net/1773/19737,1773/19737,795533760
,Endogenous and Exogenous Extracellular Microrna Transfer,Endogenous and Exogenous Extracellular Microrna Transfer,,Yesenia Correa,,Yesenia Correa,,,,,Yesenia Correa,human,doctoral thesis,"doctoral thesis by Yesenia Correa, 2014",University of Washington,2014,English,"ii, 80 pages ",,80,ii,"Tapscott, Stephen Justice,degree supervisor.",Stephen Justice Tapscott,,,,http://hdl.handle.net/1773/26385,1773/26385,894129891
,The Involvement of Stat Proteins in Cytokine-mediated Regulation of Cd28 Surface Expression On Antigen-specific Cd8+ T Cells Expanded For Adoptive Cell Therapy,The Involvement of Stat Proteins in Cytokine-mediated Regulation of Cd28 Surface Expression On Antigen-specific Cd8+ T Cells Expanded For Adoptive Cell Therapy,,Amanda C. Frey,,Amanda C Frey,,,,,Amanda C Frey,human,doctoral thesis,"doctoral thesis by Amanda C. Frey, 2014",University of Washington,2014,English,"vii, 89 pages ",,89,vii,"Greenberg, Philip D.,degree supervisor.",Philip D. Greenberg,,,,http://hdl.handle.net/1773/25402,1773/25402,890735114
,Regulatory Role of Transcription Factors Taf1 and Taf7 in Cyclin Gene Expression,Regulatory Role of Transcription Factors Taf1 and Taf7 in Cyclin Gene Expression,,Susan L. Kloet,,Susan L Kloet,University of Washington,,,,Susan L Kloet,human,doctoral thesis,"doctoral thesis by Susan L. Kloet, 2012",University of Washington,2012,English,"iii, 70 pages ",,70,iii,"Wang, Edith,thesis advisor.",Edith Wang,,,,http://hdl.handle.net/1773/20777,1773/20777,821933948
,Evolution of Antiviral Breadth in Mx Gtpases,Evolution of Antiviral Breadth in Mx Gtpases,,Patrick S. Mitchell,,Patrick S Mitchell,University of Washington,,,,Patrick S Mitchell,human,doctoral thesis,"doctoral thesis by Patrick S. Mitchell, 2015",University of Washington,2015,English,"xii, 114 pages ",,114,xii,"Malik, Harmit S.(Harmit Singh),1973-degree supervisor.",Harmit S.(Harmit Singh) Malik,,,,http://hdl.handle.net/1773/33208,1773/33208,910576631
,"The ""intelligent Adaptor"" Dab2 Regulates Clathrin-mediated Endocytosis","The ""intelligent Adaptor"" Dab2 Regulates Clathrin-mediated Endocytosis",,Erin E. Mulkearns-Hubert,,Erin E Mulkearns-Hubert,University of Washington,,,,Erin E Mulkearns-Hubert,human,doctoral thesis,"doctoral thesis by Erin E. Mulkearns-Hubert, 2012",University of Washington,2012,English,"v, 132 pages ",,132,v,"Cooper, Jonathan A.,thesis advisor.",Jonathan A. Cooper,,,,http://hdl.handle.net/1773/22016,1773/22016,852254455
,Functional Consequences of Rapid Evolution At Drosophila Centromeres,Functional Consequences of Rapid Evolution At Drosophila Centromeres,,Benjamin D. Ross,,Benjamin D. Ross,University of Washington,,,,Benjamin D. Ross,human,doctoral thesis,"doctoral thesis by Benjamin D. Ross, 2014",University of Washington,2014,English,"[unpaged, 146] pages ",,146,,"Malik, Harmit S.(Harmit Singh),1973-degree supervisor.",Harmit S.(Harmit Singh) Malik,,,,http://hdl.handle.net/1773/27536,1773/27536,905657762
,Twists and Turns of Transcription: Dynamic Interplay Between Rna Polymerase Ii and the Nucleosome,Twists and Turns of Transcription,Dynamic Interplay Between Rna Polymerase Ii and the Nucleosome,Sheila S. Teves,,Sheila S Teves,University of Washington,,,,Sheila S Teves,human,doctoral thesis,"doctoral thesis by Sheila S. Teves, 2013",University of Washington,2013,English,"vii, 153 pages ",,153,vii,"Henikoff, Steve,degree supervisor.",Steve Henikoff,,,,http://hdl.handle.net/1773/24225,1773/24225,881502329
,High-resolution Studies of the Chromatin and Transcription Landscape,High-resolution Studies of the Chromatin and Transcription Landscape,,Christopher M. Weber,,Christopher M Weber,University of Washington,,,,Christopher M Weber,human,doctoral thesis,"doctoral thesis by Christopher M. Weber, 2014",University of Washington,2014,English,"viii, 120 pages ",,120,viii,"Henikoff, Steve,degree supervisor.",Steve Henikoff,,,,http://hdl.handle.net/1773/26170,1773/26170,904026044
,Viral Phylodynamics of Host Adaptation and Antigenic Evolution,Viral Phylodynamics of Host Adaptation and Antigenic Evolution,,Sidney M. Bell,,Sidney M Bell,,,,,Sidney M Bell,human,doctoral thesis,"doctoral thesis by Sidney M. Bell, 2018",University of Washington,2018,English,"vi, 91 pages ",,91,vi,"Bedford, Trevor,degree supervisor.",Trevor Bedford,,,,http://hdl.handle.net/1773/43426,1773/43426,1091059151
,Exploring Mechanisms of Cell Shape Control in Helicobacter Pylori,Exploring Mechanisms of Cell Shape Control in Helicobacter Pylori,,Kris Blair,,Kris Blair,,,,,Kris Blair,human,doctoral thesis,"doctoral thesis by Kris Blair, 2018",University of Washington,2018,English,"vii, 133",,133,vii,"Salama, Nina Reda,degree supervisor.",Nina Reda Salama,,,,http://hdl.handle.net/1773/41825,1773/41825,1044763196
,Exploring the Role of Innate Immune Genetic Variation in Bacterial Vaginosis and Vaginal Bacterial Colonization,Exploring the Role of Innate Immune Genetic Variation in Bacterial Vaginosis and Vaginal Bacterial Colonization,,Erin J. dela Cruz,,Erin J Dela Cruz,University of Washington,,,,Erin J Dela Cruz,human,doctoral thesis,"doctoral thesis by Erin J. dela Cruz, 2018",University of Washington,2018,English,"xvi, 113 pages ",,113,xvi,"Fredricks, David N.,degree supervisor.",David N. Fredricks,,,,http://hdl.handle.net/1773/42484,1773/42484,1078254467
,Genetic Resolution of Dopamine Systems For Reward Association and Motivation,Genetic Resolution of Dopamine Systems For Reward Association and Motivation,,Gabriel Heymann,,Gabriel Heymann,,,,,Gabriel Heymann,human,doctoral thesis,"doctoral thesis by Gabriel Heymann, 2018",University of Washington,2018,English,59 pages ,,59,,"Zweifel, Larry Scott,degree supervisor.",Larry Scott Zweifel,,,,http://hdl.handle.net/1773/42487,1773/42487,1078253089
,Phylogenomic and Functional Analyses of Zad-znf Transcription Factors in Drosophila,Phylogenomic and Functional Analyses of Zad-znf Transcription Factors in Drosophila,,Bhavatharini Kasinathan,,Bhavatharini Kasinathan,University of Washington,,,,Bhavatharini Kasinathan,human,doctoral thesis,"doctoral thesis by Bhavatharini Kasinathan, 2019",University of Washington,2019,English,"ix, 89 pages ",,89,ix,"Malik, Harmit S.(Harmit Singh),1973-degree supervisor.",Harmit S.(Harmit Singh) Malik,,,,http://hdl.handle.net/1773/44398,1773/44398,1125256309
